macd,rsi,wr,c_mov5,deltamov5,turnover,signal
0.007,59.108,-0.0,0.005,0.006,124879.65000000001,1
0.007,59.108,-0.0,0.003,-0.003,128129.88,1
0.007,64.133,-0.0,0.008,0.005,124041.04000000001,1
0.008,64.133,-0.0,0.006,0.01,68087.25,1
0.009,68.648,-0.0,0.01,0.013,342641.01,1
0.01,68.648,-0.0,0.007,0.002,653985.1,1
0.01,68.648,-0.0,0.005,0.001,70373.54000000001,1
0.01,68.648,-0.0,0.003,-0.005,61735.02,1
0.01,68.648,-0.0,0.002,-0.004,77299.95999999999,1
0.009,58.061,-33.564,-0.005,-0.015,24243.289999999997,1
0.01,68.478,-0.0,0.009,0.003,123442.49,1
0.01,60.437,-39.917,-0.0,-0.005,244578.59999999998,1
0.01,64.878,-19.958,0.006,0.003,116484.85,1
0.011,68.666,-0.0,0.011,0.009,28696.780000000002,1
0.012,68.666,-0.0,0.007,0.012,44777.29,1
0.012,61.032,-24.935,-0.002,-0.011,201868.35,1
0.011,61.032,-33.218,-0.001,-0.001,68258.06,1
0.012,69.021,-0.0,0.012,0.006,175372.41999999998,1
0.013,69.021,-0.0,0.008,-0.003,50704.22,1
0.013,61.687,-24.935,-0.001,-0.008,14689.970000000001,1
0.013,65.621,-0.0,0.006,0.007,105575.39,1
0.013,65.621,-0.0,0.004,0.005,62494.130000000005,1
0.011,52.999,-66.667,-0.01,-0.022,146825.78,1
0.01,52.999,-66.667,-0.007,-0.015,40411.09,1
0.01,57.715,-50.0,0.002,0.003,105327.18000000001,1
0.01,61.839,-0.0,0.008,0.002,123203.84999999999,1
0.009,55.962,-50.0,-0.001,-0.005,288037.32,1
0.009,55.962,-50.0,-0.001,0.009,271212.48,1
0.007,50.405,-100.0,-0.007,-0.0,470309.73,1
0.006,50.405,-100.0,-0.005,-0.006,98708.88999999998,1
0.005,45.2,-100.0,-0.01,-0.017,23397.44,1
0.005,55.171,-33.333,0.006,0.008,175868.44,1
0.005,55.171,-33.333,0.004,0.005,51714.88,1
0.004,49.905,-66.667,-0.004,0.003,364098.51,1
0.004,54.574,-33.333,0.004,0.009,496156.32,1
0.005,58.718,-0.0,0.009,0.019,55872.98,1
0.005,53.466,-50.0,-0.0,-0.007,376630.73999999993,1
0.004,48.768,-75.0,-0.007,-0.011,58519.66,1
0.002,44.553,-100.0,-0.011,-0.007,15690.329999999998,1
0.002,49.275,-75.0,-0.001,-0.005,170140.22,1
0.001,49.275,-75.0,-0.001,-0.01,18743.0,1
-0.001,41.111,-100.0,-0.013,-0.013,230789.87000000002,1
0.0,53.527,-33.276,0.01,0.017,718378.2300000001,1
0.004,64.341,-0.0,0.033,0.044,1983291.28,0
0.005,54.147,-37.613,0.002,0.003,986895.3299999998,0
0.004,51.252,-50.065,-0.005,-0.004,196045.96000000002,0
0.003,48.462,-62.516,-0.01,0.004,409200.02,0
0.002,48.462,-62.516,-0.006,-0.017,146036.21,0
0.001,45.584,-74.968,-0.011,-0.043,112013.20999999998,0
-0.003,38.224,-90.031,-0.026,-0.029,350463.8300000001,0
-0.006,38.224,-90.031,-0.018,-0.013,86851.02,0
-0.006,45.059,-70.093,0.001,0.011,371870.18000000005,0
-0.006,45.059,-70.093,0.001,0.007,123177.63,0
-0.007,42.342,-80.062,-0.006,0.005,46434.2,0
-0.01,37.476,-100.0,-0.017,0.01,263733.94,0
-0.012,35.292,-84.585,-0.018,0.0,197509.08000000002,1
-0.013,39.113,-69.958,-0.005,-0.006,247144.88,1
-0.013,42.754,-59.979,0.003,0.002,154114.80000000002,1
-0.012,42.754,-55.543,0.002,0.008,288173.00999999995,1
-0.012,42.754,-50.0,0.001,0.018,56918.100000000006,1
-0.012,42.754,-42.878,0.001,0.018,301185.06999999995,1
-0.01,47.015,-28.635,0.007,0.012,21248.21,1
-0.009,50.948,-14.392,0.011,0.008,306306.27,1
-0.007,50.948,-14.392,0.007,0.005,26412.76,1
-0.005,54.872,-12.468,0.011,0.01,380895.9199999999,1
-0.003,58.418,-0.0,0.014,0.013,374511.75000000006,1
-0.001,58.418,-0.0,0.009,0.002,53753.0,1
0.001,58.418,-0.0,0.006,-0.005,219416.45,1
0.002,58.418,-0.0,0.004,-0.003,26555.18,1
0.003,58.418,-0.0,0.003,-0.009,22612.67,1
0.003,52.449,-24.935,-0.005,-0.019,23291.14,1
0.004,61.027,-0.0,0.01,0.0,67362.24,1
0.005,55.624,-24.935,0.0,-0.006,47809.44,1
0.005,55.624,-24.935,0.0,-0.004,121389.18,1
0.005,55.624,-33.218,0.0,-0.003,10556.35,1
0.006,60.042,-0.0,0.006,0.011,44534.67,1
0.007,63.912,-0.0,0.011,0.001,174527.15,1
0.008,63.912,-0.0,0.007,0.007,71065.86,1
0.008,57.458,-33.333,-0.002,-0.002,150965.75999999998,1
0.008,57.458,-33.333,-0.001,-0.001,119304.45,1
0.007,57.458,-33.333,-0.001,-0.007,35549.630000000005,1
0.006,45.885,-74.805,-0.013,-0.024,1416022.0,1
0.005,51.18,-49.87,-0.002,-0.01,21385.350000000002,1
0.004,51.18,-49.87,-0.002,0.0,121030.82,1
0.002,41.673,-100.0,-0.014,-0.013,165059.34,1
0.001,47.001,-59.875,-0.003,-0.002,106046.73000000001,1
0.001,47.001,-59.875,-0.002,0.011,118702.68,1
0.0,47.001,-59.875,-0.001,0.001,95754.4,1
0.0,52.379,-39.917,0.006,0.007,29522.600000000002,1
-0.0,47.219,-59.875,-0.003,0.011,82950.20000000001,1
-0.0,47.219,-59.875,-0.002,0.001,236162.66999999998,1
0.0,52.631,-39.917,0.005,0.007,13796.86,1
0.0,52.631,-39.917,0.003,0.005,188141.02000000002,1
0.001,57.665,-0.0,0.009,0.003,45982.700000000004,1
0.001,51.743,-24.935,-0.001,0.002,58718.340000000004,1
0.001,51.743,-24.935,-0.0,0.001,77983.41,1
-0.0,41.747,-75.065,-0.013,-0.018,232425.65999999997,1
-0.002,37.832,-100.0,-0.015,-0.019,79418.04000000001,1
-0.002,48.324,-49.87,0.003,-0.006,106784.34,1
